EXCHANGE,CABLE_NAME,FIBER_PAIR,REMARKS,STATUS,CABLE_TYPE,DSA_NUM,ACCESS_POINT,ROUTE,PEDESTAL,AP_ADDRESS,MAP,CONDITION_CODE,COMMENTS,CIRCUIT_ID,CIRCUIT_DESIGN_ID,EUL_NAME,STREET_ADDRESS,ADDL_INFO,CLLI_CODE
LAVERGNE,FDHAJ,288,,Unassigned,PON-DISTR,24100,241-AJ-462 FP1,462,FP1,HOLLANDALE RD,MAP-41,,,,,241-AJ-042508,400 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,289,,Unassigned,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,,,241-10-018172,617 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,290,,Unassigned,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,,,241-10-018161,616 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,291,,Unassigned,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,,,241-10-018194,619 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,292,,Inservice,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,241-AJ-018188//ONT LINK/2930720,2930720,241-AJ-018188,618 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,293,,Unassigned,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,,,241-10-018213,621 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,294,,Inservice,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,241-AJ-018207//ONT LINK/2929855,2929855,241-AJ-018207,620 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,295,,Unassigned,PON-DISTR,24100,241-AJ-462 FP9,462,FP9,HOLLANDALE RD,MAP-37,,,,,241-10-018226,622 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,296,,Unassigned,PON-DISTR,24100,241-AJ-462 FP10,462,FP10,FOREST RIDGE DR,MAP-37,,,,,241-10-018238,624 HOLLANDALE RD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,297,,Unassigned,PON-DISTR,24100,241-AJ-462 FP10,462,FP10,FOREST RIDGE DR,MAP-37,,,,,241-10-016954,101 HOLLAND RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,298,,Unassigned,PON-DISTR,24100,241-AJ-462 FP10,462,FP10,FOREST RIDGE DR,MAP-37,,,,,241-AJ-011919,805 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,299,,Unassigned,PON-DISTR,24100,241-AJ-462 FP10,462,FP10,FOREST RIDGE DR,MAP-37,,,,,241-AJ-011922,806 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,301,,Unassigned,PON-DISTR,24100,241-AJ-463 FP1,463,FP1,STEWART RD,MAP-41,,,,,241-10-067520,104 BILL STEWART BLVD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,302,,Unassigned,PON-DISTR,24100,241-AJ-463 FP1,463,FP1,STEWART RD,MAP-41,,,,,241-10-067530,107 BILL STEWART BLVD ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,303,,Unassigned,PON-DISTR,24100,241-AJ-463 FP2,463,FP2,STEWART RD,MAP-41,,,,,241-10-067536,109 BILL STEWART BLVD ,,LVRGTNXAAJ
